English,Spanish,French
Shampoo,Champú,Shampooing
Toothpaste,Pasta de dientes / Dentífrico,Dentifrice
Soap,Jabón,Savon
Deodorant,Desodorante,Déodorant
Lipstick,Rojo de labios / Lápiz labial,Rouge à lèvres
Mascara,Rímel,Mascara
Foundation,Maquillaje de fondo / Base de maquillaje,Fond de teint
Moisturizer,Crema hidratante,Crème hydratante
Nail Polish,Esmalte para las uñas,Vernis à ongles
Laundry Detergent,Detergente para la ropa,Lessive
Dish Soap,Jabón para platos / Lavavajillas,Liquide vaisselle
Paper Towels,Toallas de papel,Essuie-tout / Sopalin
Toilet Paper,Papel higiénico,Papier toilette
Tissues,Pañuelos de papel,Mouchoirs en papier
Ballpoint Pen,Bolígrafo / Pluma,Stylo à bille / Bic
Notebook,Cuaderno,Cahier
Adhesive Tape,Cinta adhesiva,Ruban adhésif / Scotch
Lip Balm,Bálsamo labial,Baume à lèvres / Labello
Bandages,Vendas / Curitas,Pansements
Vacuum Cleaner,Aspiradora,Aspirateur
